# Constructed from biom file
#OTU ID	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
97523431f7fbaaefa4d22e267b7c0dac	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3eaf4165eebc07a4278b3d624b40ebed	6.0	6.0	1.0	4.0	0.0	0.0	1.0	0.0
da6645af535184afe6be4eb9942fa355	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
5fde5a7b5e65c315f107dc3e08d57b1d	0.0	0.0	20.0	1.0	3.0	13.0	5.0	7.0
470cedd1d76d5c80fcbef3fb8c9d3634	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13fab874eac45016d344f3cdcbc1e593	0.0	3.0	3.0	9.0	0.0	9.0	1.0	0.0
60bd6b05e2ba4fd8a351e8259fadd5fb	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
c7f26464a1905c5b57231aa3f3393a6e	1.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0
91fece3e94429dc5d64f3d2701526640	4.0	1.0	26.0	31.0	0.0	1.0	1.0	0.0
64f9bc58dd7599bb896f459ecb02e248	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
55cca38113297622dfea9ca4c1673242	7.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0
a2767cabe39a632bbd2d33194f544ead	0.0	8.0	1.0	3.0	0.0	0.0	1.0	3.0
b09f4ab31572ad8d379c945500bb2f84	3.0	1.0	18.0	21.0	0.0	1.0	2.0	0.0
8412d92ea37579a1dc66f578f1b07827	24.0	51.0	3.0	33.0	99.0	69.0	194.0	117.0
ca8e343474254b9e86ff3d181fd36684	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
2c9f4bcf781cff51eafff175b8b899ee	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0
4aebb134db00e6080b97eced62710c7b	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
516a9c2385f10a2df77cdb850b00d6f2	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
c86ffd196b0078ccecba86a814ebdfc5	9.0	6.0	12.0	0.0	39.0	51.0	40.0	33.0
34c260e93824eae7f8d273f07bab7971	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
